,Name,University,Sport,Sponsors
2,Emilie Henningsen,University of Oregon,Acrobatics and Tumbling,Barstool Sports
3,Kylee Watson,University of Oregon,Basketball,
4,Sedona Prince,University of Oregon,Basketball,
5,Ally Haden,University of Oregon,Beach Volleyball,
6,Zoe Almanza,University of Oregon,Beach Volleyball,
7,Jasmin Reed,University of Oregon,Track and Field,Barstool Sports
8,DoniRae Mayhew,University of Iowa,Softball,Barstool Sports
9,Brittney Herrick,Siena College,Volleyball,Barstool Sports
10,Jake Hanebrink,Maryville University,Ice Hockey,Barstool Sports
11,Ryan Ives,Princeton University,Football,Barstool Sports
12,Owen MacDonnell,Sacred Heart University,Baseball,Barstool Sports
13,Jake Lubotsky,Michigan State University,Basketball,Barstool Sports
14,PJ Eaton,College of Charleston,Sailing,Barstool Sports
15,Will Stearns,Bryant University,Football,Barstool Sports
16,John McGuire,Bucknell University,Football,Barstool Sports
17,Marco Donatelli,University of Akron,Football,Barstool Sports
18,Zander Gibson,Rider University,Golf,Barstool Sports
19,Bailey Sulzer,Brigham Young University,Football,Barstool Sports
0,Jonah Sutton,University of Memphis,Baseball,Barstool Sports
1,Dawson Lee,Missouri State University,Soccer,Barstool Sports
2,Grant Horvath,University of Cincinnati,Football,Barstool Sports
3,John Lumpinski,Binghamton University,Baseball,Barstool Sports
4,Delaney Sweitzer,Syracuse University,Lacrosse,Barstool Sports
5,Gardner Lawrence,New Jersey Institute of Technology,Baseball,Barstool Sports
6,Alex Ciaramitaro,Bradley University,Golf,Barstool Sports
7,Dawson DeIuliis,Princeton University,Football,Barstool Sports
8,Andrew Sawarynski,GardnerâWebb University,Baseball,Barstool Sports
9,Payton Barlow,Ball State University,Track and Field,Barstool Sports
10,Jake Lanier,Texas A&M University,Track and Field,Barstool Sports
11,Danny Pahl,University of Iowa,Baseball,Barstool Sports
12,Drake Smith,Winthrop University,Baseball,Barstool Sports
13,Kyle Maurer,Purdue University Fort Wayne,Baseball,Barstool Sports
14,TJ Melani,Stetson University,Baseball,Barstool Sports
15,Jake Jones,University of Cincinnati,Golf,Barstool Sports
16,Emily Holbrook,Arizona State University,Volleyball,Barstool Sports
17,Jack Gates,Colorado College,Ice Hockey,Barstool Sports
18,Max Christides,University of Massachusetts Lowell,Lacrosse,Barstool Sports
19,Jack Jannasch,Louisiana State University,Swimming and Diving,Barstool Sports
0,Jonathan Childress,Texas A&M University,Baseball,Barstool Sports
1,Noah Weber,University of Minnesota,Ice Hockey,Barstool Sports
2,Reid Meyer,Texas Tech University,Baseball,Barstool Sports
3,Will Hamilton,Columbia University,Football,Barstool Sports
4,Palmer Henderson,University of Georgia,Football,Barstool Sports
5,Faith Choi,The Ohio State University,Golf,Barstool Sports
6,Ben Ovetsky,Binghamton University,Soccer,Barstool Sports
7,Matt Stampfel,University of Connecticut,Lacrosse,Barstool Sports
8,Mason Naifeh,University of Oklahoma,Wrestling,Barstool Sports
9,James Greene,Hobart and William Smith College,Lacrosse,Barstool Sports
10,David Dunlop,University of Minnesota,Football,Barstool Sports
11,Brandon Dunnigan,Florida State University,Water Polo,Barstool Sports
12,Justin Petzold,"University at Albany, SUNY",Football,Barstool Sports
13,Ryan Cibull,Lewis & Clark College,Basketball,Barstool Sports
14,Kaili Scott,"California State University, San Bernardino",Volleyball,Barstool Sports
15,Hayden Beck,Washburn University,Golf,Barstool Sports
16,Aunbrielle Green,Shippensburg University of Pennsylvania,Basketball,Barstool Sports
17,Emily Raubuch,Morgan State University,Softball,Barstool Sports
18,Kamryn Brown,Morgan State University,Volleyball,Barstool Sports
19,Seth Bolin,Duquesne University,Football,Barstool Sports
0,Toby Okani,Duquesne University,Basketball,Barstool Sports
1,Kevin Easley Jr.,Duquesne University,Basketball,
2,Ben Hoffman,Duquesne University,Cross Country,Barstool Sports
3,Trent McConnaughey,Duquesne University,Soccer,Barstool Sports
4,Abby McNamee,Duquesne University,Lacrosse,Barstool Sports
5,KR Costello,Duquesne University,Lacrosse,Barstool Sports
6,Leah Reisker,Duquesne University,Swimming and Diving,Barstool Sports
7,Amberly Valeriano,Duquesne University,Track and Field,Barstool Sports
8,John Dempsey,Wofford College,Baseball,Barstool Sports
9,Nolen Hester,Wofford College,Baseball,Barstool Sports
10,James Garnett,Wofford College,Football,Barstool Sports
11,Romello Gray,Wofford College,Football,Barstool Sports
12,Mitchell Myers,Wofford College,Soccer,Barstool Sports
13,Eduardo Velazco,Wofford College,Soccer,Barstool Sports
14,Moira Carroll,Wofford College,Lacrosse,Barstool Sports
15,Caroline Thompson,Wofford College,Soccer,Barstool Sports
16,Carter Edge,Middle Tennessee State University,Baseball,Barstool Sports
17,Donovan Sims,Middle Tennessee State University,Basketball,Barstool Sports
18,Michael Barnard,Middle Tennessee State University,Golf,Barstool Sports
19,Steven Haremski,Middle Tennessee State University,Golf,Barstool Sports
0,Logan Spurrier,Middle Tennessee State University,Golf,Barstool Sports
1,Makenzie Hutchinson,Middle Tennessee State University,Softball,Barstool Sports
2,Gabe Irwin,Stephen F. Austin State University,Baseball,Barstool Sports
3,Josh Thompson,Stephen F. Austin State University,Football,Barstool Sports
4,Kate Dishman,Stephen F. Austin State University,Golf,Barstool Sports
5,Paula Cerda,Stephen F. Austin State University,Tennis,Barstool Sports
6,Gavin Baechle,University of Texas at El Paso,Football,Barstool Sports
7,Luke Soto,University of Texas at El Paso,Football,Barstool Sports
8,Alfred Hollins,University of Texas at El Paso,Basketball,
9,Greg Yellin,University of Texas at El Paso,Golf,Barstool Sports
10,Kristen Prevosto,University of Texas at El Paso,Soccer,Barstool Sports
11,Alyssa King,University of Texas at El Paso,Volleyball,Barstool Sports
12,Brandon Uhse,University of Houston,Baseball,Barstool Sports
13,Samuel Tormos,University of Houston,Baseball,Barstool Sports
14,Nathaniel Dell,University of Houston,Football,
15,Chandler Smith,University of Houston,Football,
16,Ike Ogbogu,University of Houston,Football,Obsesh Media Inc
17,Kyler Edwards,University of Houston,Basketball,
18,Adam Khriss,University of Houston,Track and Field,Barstool Sports
19,Hannah Gault,University of Houston,Cross Country,Barstool Sports
0,Celeste Darling,University of Houston,Volleyball,Barstool Sports
1,Grayson Gates,Northwestern State University,Baseball,Barstool Sports
2,Cameron Parikh,Northwestern State University,Baseball,Barstool Sports
3,Jordan McClaine,Northwestern State University,Football,Barstool Sports
4,Mark Green,Northwestern State University,Football,Barstool Sports
5,Payten Vidourek,Northwestern State University,Cross Country,Barstool Sports
6,Austin Simoneaux,Northwestern State University,Track and Field,Barstool Sports
7,Kyle Nolen,Northwestern State University,Soccer,Barstool Sports
8,Parish Kitto,Northwestern State University,Track and Field,Barstool Sports
9,Marques Watson-Trent,Georgia Southern University,Football,Barstool Sports
10,Aidan Ferreira,Georgia Southern University,Soccer,Barstool Sports
11,Manuel Prieto,Georgia Southern University,Soccer,Barstool Sports
12,Taylor Oden,Georgia Southern University,Soccer,Barstool Sports
13,Kyleigh Drew,Georgia Southern University,Soccer,Barstool Sports
14,Derek Sabin,Belmont University,Basketball,
15,Jack Bergstrom,Belmont University,Golf,Barstool Sports
16,Niccolo Dagnoni,Belmont University,Soccer,Barstool Sports
17,AJ Chastonay,Belmont University,Soccer,Barstool Sports
18,Savannah Halterman,Belmont University,Softball,
19,Keely Cartrett,Belmont University,Soccer,
0,Riley Casey,Belmont University,Soccer,Barstool Sports
1,Mary Catherine Ball,Belmont University,Volleyball,
2,Lauren Walsh,Belmont University,Volleyball,
3,Elizabeth Godfrey,Belmont University,Volleyball,
4,Laura Shoopman,Belmont University,Volleyball,
5,Ulysses Bentley IV,Southern Methodist University,Football,
6,Derek Green,Southern Methodist University,Football,
7,Marcus Bryant,Southern Methodist University,Football,Barstool Sports
8,Blake Mazza,Southern Methodist University,Football,
9,Kendric Davis,Southern Methodist University,Basketball,
10,Ollie Osborne,Southern Methodist University,Golf,PING Golf
11,Lane Warrington,Southern Methodist University,Soccer,Barstool Sports
12,Tyler Coffey,Southern Methodist University,Swimming and Diving,Barstool Sports
13,Kyle Pham,Southern Methodist University,Tennis,Barstool Sports
14,Victoria Franklin,Southern Methodist University,Rowing,Barstool Sports
15,Kaylyn Winkler,Southern Methodist University,Volleyball,Barstool Sports
16,Alex Glover,Southern Methodist University,Volleyball,
17,Max Viera,Northeastern University,Baseball,
18,Kyle Hoog,Northeastern University,Baseball,Barstool Sports
19,Sebastian Soriano,Northeastern University,Soccer,Barstool Sports
0,Zach Sauer,Northeastern University,Soccer,Barstool Sports
1,Harry Sankey,Northeastern University,Soccer,Barstool Sports
2,Noah Sweeney,Northeastern University,Track and Field,Barstool Sports
3,Devereaux Harrison,"California State University, Long Beach",Baseball,
4,Mekhi Mays,"California State University, Long Beach",Track and Field,Barstool Sports
5,Makenzie Griffin,"California State University, Long Beach",Beach Volleyball,Barstool Sports
6,Natalie Tolento,"California State University, Long Beach",Track and Field,Barstool Sports
7,Jadon Conroy,Marquette University,Cross Country,Barstool Sports
8,Thomas Leonard,Marquette University,Cross Country,
9,AJ Franklin,Marquette University,Soccer,Barstool Sports
10,Harry Baker,Marquette University,Track and Field,Barstool Sports
11,Karissa McLaughlin,Marquette University,Basketball,
12,Ayden Eberhardt,University of Wyoming,Football,Barstool Sports
13,Cole Godbout,University of Wyoming,Football,Barstool Sports
14,Chance Hofer,University of Wyoming,Football,Barstool Sports
15,Jack Walsh,University of Wyoming,Football,
16,Gage Hockett,University of Wyoming,Wrestling,Barstool Sports
17,Jazi Barela,University of Wyoming,Soccer,Barstool Sports
18,Aumni Ashby,University of Wyoming,Track and Field,Barstool Sports
19,Seth Johnson,Austin Peay State University,Football,Barstool Sports
0,Henry Fitzhugh,"University of California, Irvine",Golf,Obsesh Media Inc
1,Garo Barsemian,"University of California, Irvine",Volleyball,Barstool Sports
2,Dylan Zhai,"University of California, Irvine",Volleyball,Barstool Sports
3,Connor Campbell,"University of California, Irvine",Volleyball,Barstool Sports
4,Megan Mansonhing,"University of California, Irvine",Tennis,Barstool Sports
5,Jenna Schlatter,"University of California, Irvine",Tennis,Barstool Sports
6,Bailey Darnell,"University of California, Irvine",Volleyball,Barstool Sports
7,Justin Van De Brake,Washington State University,Baseball,Barstool Sports
8,Nate Swarts,Washington State University,Baseball,Barstool Sports
9,Joey Hobert,Washington State University,Football,Barstool Sports
10,Max Borghi,Washington State University,Football,
11,Henry Kimmins,Washington State University,Football,Barstool Sports
12,Jaden Cantafio,Washington State University,Golf,Barstool Sports
13,Nick Johnson,Washington State University,Track and Field,Barstool Sports
14,Charlisse Leger-Walker,Washington State University,Basketball,
15,Mykiaa Minniss,Washington State University,Soccer,
16,Jasneet Nijjar,Washington State University,Track and Field,Barstool Sports
17,Will Bermudez,"University of California, Davis",Baseball,Barstool Sports
18,Ryan Stonehouse,Colorado State University,Football,
19,Dylan Walker,Colorado State University,Football,Barstool Sports
0,Ashley Michelena,Colorado State University,Softball,Barstool Sports
1,Sydney Hornbuckle,Colorado State University,Softball,Barstool Sports
2,JaMario Blige,University of Tennessee at Chattanooga,Football,Barstool Sports
3,KC Hankton,University of Tennessee at Chattanooga,Basketball,Barstool Sports
4,Connor Nolan,University of Tennessee at Chattanooga,Golf,Barstool Sports
5,Colton Landers,University of Tennessee at Chattanooga,Wrestling,Barstool Sports
6,Caleb Waddell,University of Tennessee at Chattanooga,Wrestling,Barstool Sports
7,Hanley Lomax,University of Tennessee at Chattanooga,Beach Volleyball,Barstool Sports
8,Aleya Kennedy,University of Tennessee at Chattanooga,Volleyball,Barstool Sports
9,Hudson Hall,University of Tennessee at Martin,Cross Country,Barstool Sports
10,Tate Chumley,University of Tennessee at Martin,Golf,Barstool Sports
11,Holly Forbes,University of Tennessee at Martin,Basketball,Barstool Sports
12,Maya Dickson,University of North Alabama,Beach Volleyball,Barstool Sports
13,Sydney Flesch,University of North Alabama,Tennis,Barstool Sports
14,Bay Witcher,Troy University,Baseball,Barstool Sports
15,Noah Janney,Troy University,Baseball,Barstool Sports
16,Peyton Wesson,Troy University,Baseball,Barstool Sports
17,Will Choloh,Troy University,Football,Barstool Sports
18,Alisa Detlefsen,Troy University,Soccer,Barstool Sports
19,Danniane Arboleda,Troy University,Soccer,Barstool Sports
0,Isabella Mitchell,Troy University,Volleyball,Barstool Sports
1,Landon Higgerson,Radford University,Baseball,Barstool Sports
2,Ty Burton,Radford University,Baseball,Barstool Sports
3,Jose Rivera,Radford University,Soccer,Barstool Sports
4,Lindsay Hunter,Radford University,Softball,Barstool Sports
5,Olivia Hunter,Radford University,Lacrosse,Barstool Sports
6,Connor Macip,University of New Orleans,Baseball,Barstool Sports
7,Jackson Murphy,University of New Orleans,Baseball,Barstool Sports
8,Keegan Rich,University of New Orleans,Baseball,Barstool Sports
9,Rodney Carson Jr.,University of New Orleans,Basketball,Obsesh Media Inc
10,Alec Snell,University of New Orleans,Cross Country,Barstool Sports
11,Brendan Winters,University of New Orleans,Golf,Barstool Sports
12,Hunter Reynolds,Utah State University,Football,
13,Anique Grenier,Utah State University,Gymnastics,Barstool Sports
14,Brian Raymond,Western Illinois University,Baseball,Barstool Sports
15,Dallas Daniels,Western Illinois University,Football,Barstool Sports
16,Tre Maronic,Western Illinois University,Football,Barstool Sports
17,Jordan Haven,Western Illinois University,Football,Barstool Sports
18,Ben Nauman,Western Illinois University,Football,Barstool Sports
19,Daniel Carson,Western Illinois University,Football,Barstool Sports
0,Adam Anhold,Western Illinois University,Basketball,Barstool Sports
1,Ami Ill,Western Illinois University,Softball,Barstool Sports
